,Question,Answer
503,Do giant pandas attack humans?,Yes
504,What family is the panda a part of?,Ursidae (bear)
505,What family is the panda a part of?,Ursidae
506,How long does it take for the panda cubs skin to turn gray?,one to two weeks after birth
507,How long does it take for the panda cubs skin to turn gray?,One to two weeks
508,How many different names did Chinese writings give to the panda?,20
509,How many different names did Chinese writings give to the panda?,20
510,What foods do pandas eat?,bamboo
511,What foods do pandas eat?,"bamboo, honeys, eggs, fish, yams, shrub leaves, oranges, and bananas"
512,What are the two subspecies of giant pandas?,Ailuropoda melanoleuca melanoleuca and  Ailuropoda melanoleuca qinlingensis 
513,What are the two subspecies of giant pandas?,"Ailuropoda melanoleuca melanoleuca and The Qinling Panda, Ailuropoda melanoleuca qinlingensis"
514,What is panda diplomacy?,Loans of Giant Pandas to American and Japanese zoos
515,What is panda diplomacy?,Loans of Giant Pandas to American and Japanese zoos
516,Is the Giant Panda a mammal?,yes
517,Is the Giant Panda a mammal?,Yes
518,Is the Giant Panda a terrestrial animal?,yes
519,Is the Giant Panda a terrestrial animal?,Yes
520,Is the Giant Panda an endangered species?,yes
521,Is the Giant Panda an endangered species?,Yes
522,Where do Giant Pandas live?,a few mountain ranges in central china
523,Where do Giant Pandas live?,"Sichuan province, Shaanxi and Gansu provinces"
524,When was the Giant Panda's genome sequenced?,2009
525,When was the Giant Panda's genome sequenced?,2009
526,How many subspecies of the Giant Panda are there?,Two
527,How many subspecies of the Giant Panda are there?,Two
528,Is the Giant Panda a carnivore?,Yes
529,Why is the Giant Panda an endangered species?,threatened by habitat loss
530,Why is the Giant Panda an endangered species?,It is threatened by continued habitat loss and by a very low birthrate
531,Is the population of wild Giant  Pandas growing?,"according to some reports, yes"
532,Is the population of wild Giant  Pandas growing?,Yes but uncertain
533,Is an acoustic guitar dependent on an external device?,No
534,Is an acoustic guitar dependent on an external device?,No.
535,Is the battente smaller than a classical guitar?,Yes
536,Is the battente smaller than a classical guitar?,Yes.
537,Is the flamenco guitar similar to the classical guitar?,Yes
538,Is the flamenco guitar similar to the classical guitar?,Yes.
539,Where is the headstock located?,end of the guitar neck furthest from the body
540,Where is the headstock located?,At the end of the guitar.
541,Whom are guitars made and repaired by?,luthiers
542,Whom are guitars made and repaired by?,Luthiers.
543,What are modern guitar strings constructed of?,"metal, polymers, animal or plant product materials"
544,What are modern guitar strings constructed of?,"Metal, polymers, or animal or plant product materials."
545,Why are Harp Guitars difficult to classify?,as there are many variations within this type of guitar
546,Why are Harp Guitars difficult to classify?,There are many variations within this type.
547,What is the bridge used for?,transfer the vibration from the strings to the soundboard
548,What is the bridge used for?,The transfer of string vibrations.
549,Which guitars use three single-coil pickups?,Fender Statocaster type guitars
550,Which guitars use three single-coil pickups?,Fender Stratocaster type guitars.
551,Is a guitar an instrument?,Yes
552,Is a guitar an instrument?,yes
553,Can guitars be divided into two broad categories?,Yes
554,Can guitars be divided into two broad categories?,yes
555,Do picks come in many shapes and sizes?,Yes
556,Do picks come in many shapes and sizes?,yes
557,How many strings does a guitar typically have?,Six
558,How many strings does a guitar typically have?,six
559,What is located at the end of the guitar neck furthest from the body?,Headstock
560,What is located at the end of the guitar neck furthest from the body?,headstock
561,What are most electric guitar bodies made of?,Wood
562,What are most electric guitar bodies made of?,wood
563,Why do some people believe that left-handed people should learn to play guitars as right-handed people do?,to standardise the instrument
564,Why do some people believe that left-handed people should learn to play guitars as right-handed people do?,to standardise the instrument
565,How old is the oldest known representation of a guitar-like intrument being played?,"3,300 years old"
566,How old is the oldest known representation of a guitar-like intrument being played?,"3,300 years old"
567,What is the point called that is bolted or glued to the body of the guitar?,Neck Joint
568,What is the point called that is bolted or glued to the body of the guitar?,Neck joint or 'Heel'
569,Did Becquerel study science at the École des Ponts et Chaussées?,Yes
570,Did he become chief engineer in the Department of Bridges and Highways in 1892?,No
571,Did he become chief engineer in the Department of Bridges and Highways in 1892?,yes
572,Was Becquerel a French physicist?,Yes
573,Was Becquerel a French physicist?,yes
574,Whom did he share the Nobel Prize with?,Pierre and Marie Curie
575,Whom did he share the Nobel Prize with?,Pierre and Marie Curie
576,When did he die?,1908
577,When did he die?,1908
578,What is the SI unit for radioactivity called?,becquerel
579,What is the SI unit for radioactivity called?,the becquerel (Bq)
580,"When Becquerel discovered radioactivity, whose work did he investigate?",Wilhelm Conrad Röntgen
581,"When Becquerel discovered radioactivity, whose work did he investigate?",Wilhelm Conrad RÃ¶ntgen
582,Where are there craters named Becquerel?,Moon and Mars
583,Where are there craters named Becquerel?,on the moon and on mars
584,Why did Bequerel win the Nobel Prize in Physics?,discovery of spontaneous radioactivity
585,Why did Bequerel win the Nobel Prize in Physics?,was the discoverer of radioactivity
586,Was Isaac Newton British?,Yes.
587,Was Isaac Newton British?,"Yes, he was English."
588,Was Isaac Newton religious?,It is not clear.
589,Was Isaac Newton religious?,"Yes, he was highly religious, though an unorthodox Christian."
590,Did Isaac Newton die in 1898?,No.
591,Did Isaac Newton die in 1898?,"No, Newton died in his sleep in London on 31 March 1727."
592,Where was Isaac Newton born?,At Woolsthorpe Manor in Woosthorpe-by-Colsterworth.
593,Where was Isaac Newton born?,"He was born at Woolsthorpe Manor in Woolsthorpe-by-Colsterworth, a hamlet in the county of Lincolnshire."
594,Who shares credit with Isaac Newton for developing calculus?,Gottfried Leibniz.
595,Who shares credit with Isaac Newton for developing calculus?,Newton shares the credit with Gottfried Leibniz for the development of the differential and integral calculus.
596,When did Isaac Newton discover the generalized binomial theorem?,In 1665.
597,When did Isaac Newton discover the generalized binomial theorem?,In 1665.
598,Did the Occult influence Newton's theory of gravitation?,Yes.
599,Did the Occult influence Newton's theory of gravitation?,"If Newton had not relied on the occult idea of action at a distance, he might not have developed his theory of gravity."
600,Were Newton's religious views consistent with Anglicanism?,No.
601,Were Newton's religious views consistent with Anglicanism?,"No, a conflict between Newton's religious views and Anglican orthodoxy was averted."
602,Which fruit inspired Isaac Newton's theory of gravitation?,The apple.
603,Which fruit inspired Isaac Newton's theory of gravitation?,Isaac Newton's theory of gravitation was inspired by watching the fall of an apple from a tree.
604,Was Sir Isaac Newton an English physicist and mathematician?,yes
605,Was Sir Isaac Newton an English physicist and mathematician?,yes
606,Did he build the first practical reflecting telescope?,yes
607,"Was Isaac Newton educated at The King's Schol, Grantham?",yes
608,"Was Isaac Newton educated at The King's Schol, Grantham?",yes
609,Where was Isaac Newton born?,Woolsthorpe Manor in Woolsthorpe-by-Colsterworth
610,Where was Isaac Newton born?,Woolsthorpe Manor in Woolsthorpe-by-Colsterworth
611,When was the Principia published?,1687
612,When was the Principia published?,1687
613,Where is there a Newton statue on display?,Oxford University Museum of Natural History 
614,Where is there a Newton statue on display?,Oxford University Museum of Natural History
615,Where was Isaac Newton buried?,Westminster Abbey
616,Where was Isaac Newton buried?,Westminster Abbey
617,What religion did Isaac Newton follow?,he never made a public declaration of his private faith
